"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-23 10:20:13",1763893213362,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893213232-c3b3e6d649a0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Starting simplified extraction for session: extract-LDl_YFsxse","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MY4WZENTA8065W3SBTRM","",-1
"2025-11-23 10:20:13",1763893213340,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",400,"8m7bp-1763893213232-c3b3e6d649a0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",225,"iad1",147,2048,"","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MY4WZENTA8065W3SBTRM","TFUGnhNSQd1Z",1
"2025-11-23 10:20:12",1763893212884,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893212746-62295058cc8f","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Extracting Table 4: P values (intersample comparisons) from K-S analysis of U-Pb ages of detrital zircons in subsets of Cretaceous-Paleogene samples from the Sevier foreland of Utah and the flank of the Arizona-New Mexico Mogollon Highlands","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MXNXJMN0JK11EZ86QJNQ","",-1
"2025-11-23 10:20:12",1763893212883,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893212746-62295058cc8f","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Starting simplified extraction for session: extract-LDl_YFsxse","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MXNXJMN0JK11EZ86QJNQ","",-1
"2025-11-23 10:20:12",1763893212861,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",400,"8m7bp-1763893212746-62295058cc8f","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",225,"iad1",147,2048,"","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MXNXJMN0JK11EZ86QJNQ","TFUGnhNSQd1Z",1
"2025-11-23 10:20:12",1763893212395,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"wmxnc-1763893212065-8be53d67ef49","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Extracting Table 3: Age subpopulations (U-Pb ages) in detrital zircon samples","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MX6M57CDEVRG9DM6Q9ZH","",-1
"2025-11-23 10:20:12",1763893212395,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"wmxnc-1763893212065-8be53d67ef49","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Starting simplified extraction for session: extract-LDl_YFsxse","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MX6M57CDEVRG9DM6Q9ZH","",-1
"2025-11-23 10:20:12",1763893212174,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",400,"wmxnc-1763893212065-8be53d67ef49","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",226,"iad1",147,2048,"","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MX6M57CDEVRG9DM6Q9ZH","TFUGnhNSQd1Z",1
"2025-11-23 10:20:11",1763893211733,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893211579-b9528fc15025","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Extracting Table 2: Detrital modes of detrital zircon samples","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MWHAD598JYQ2XHT9AC81","",-1
"2025-11-23 10:20:11",1763893211733,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893211579-b9528fc15025","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Starting simplified extraction for session: extract-LDl_YFsxse","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MWHAD598JYQ2XHT9AC81","",-1
