Sample,Lab_No,Standard_RunID,He4_ncc,Mass_mg,Mean_FT,U_ppm,Th_ppm,Sm_ppm,eU_ppm,Uncorr_Age_Ma,Corrected_Age_Ma,Age_error_Ma,Length_um,Half_width_um,Rs_um,Morphology,Thermal_Modeling
MU19-18,23370,E,1.058,0.0119,0.82,11.8,2.2,12.0,12.3,59.2,71.9,4.5,225.2,72.5,82.3,0T,
MU19-18,23371,E,0.172,0.0083,0.80,6.1,1.5,17.2,6.5,26.3,32.8,2.0,185.5,66.8,73.7,0T,
MU19-18,23372,E,0.341,0.0068,0.79,15.4,2.7,22.0,16.0,25.6,32.6,2.0,196.5,58.6,67.8,0T,
MU19-18,23373,E,0.784,0.0090,0.81,18.7,1.5,34.4,19.1,37.6,46.2,2.9,289.0,66.4,81.0,1T,
MU19-18,23374,E,0.464,0.0126,0.82,6.6,1.5,9.7,7.0,43.0,52.4,3.2,281.4,66.8,81.0,0T,
MU19-20,22787,B,0.025,0.0039,0.73,1.6,2.1,14.0,2.1,24.6,33.8,2.1,136.8,53.2,57.5,0T,S
MU19-20,22788,B,0.111,0.0070,0.78,1.6,1.2,5.3,1.9,67.9,86.7,5.4,155.6,66.7,70.0,0T,S
MU19-20,22789,B,1.372,0.0063,0.78,12.7,2.8,69.1,13.4,131.5,168.6,10.5,187.3,57.9,66.3,0T,S
MU19-20,22790,B,0.313,0.0085,0.80,1.9,0.5,5.5,2.0,150.0,187.3,11.6,114.2,86.2,73.7,0T,S
MU19-20,22791,B,0.274,0.0104,0.81,3.0,1.0,22.5,3.2,66.5,82.0,5.1,231.8,67.0,77.9,0T,S
MU19-24,22792,B,0.480,0.0235,0.86,3.7,0.2,98.7,3.7,43.5,50.3,3.1,232.1,100.3,105.1,0T,S
MU19-24,22793,B,0.201,0.0090,0.80,4.2,0.9,127.4,4.4,40.1,50.0,3.1,230.9,62.2,73.5,0T,S
MU19-24,22794,B,0.569,0.0140,0.82,7.5,0.7,113.8,7.7,42.8,52.4,3.2,376.1,60.8,78.5,0T,S
MU19-24,22796,B,0.132,0.0101,0.81,2.7,0.5,81.8,2.8,37.3,45.8,2.8,114.9,93.7,77.4,0T,S
MU19-25,23375,E,0.630,0.0135,0.83,3.9,0.3,116.2,4.0,92.8,111.4,6.9,228.6,76.5,86.0,0T,
MU19-25,23376,E,0.325,0.0095,0.81,3.3,0.7,115.3,3.5,77.7,95.8,5.9,183.4,71.9,77.5,0T,
MU19-25,23377,E,1.021,0.0120,0.83,6.9,0.7,128.0,7.1,95.4,115.2,7.1,203.5,76.7,83.6,0T,
MU19-25,23378,E,0.891,0.0085,0.82,11.1,1.4,179.9,11.4,73.8,90.2,5.6,239.8,73.1,84.0,1T,
MU19-25,23379,E,0.663,0.0120,0.83,5.5,1.0,118.7,5.7,77.0,93.1,5.8,186.8,80.0,84.0,0T,
