Sample No.,No. of grains,Ns,ρs [10^5 cm^-2],238U [ppm±1σ],232Th [ppm±1σ],eU [ppm±1σ],P(χ2) [%],Disp. [%],Pooled age [Ma±1σ],Central age [Ma±1σ],Dpar [μm±1σ],rmr0b,rmr0Dc,Cl [wt%],eCl [apfu],N length,Mean track length [μm±se],MTL St.Dev. [μm]
MU19-05,22,149,18.9041,3.32±6.2,1.79±6.7,3.75±7.4,0.03,61.36,168.9±57.5,245.3±49.2,1.6±0.4,0.831,108,11.19±0.2,1.99
MU19-06,32,583,3.9870,7.93±9.7,1.09±2.4,8.19±10.2,2.31,16.42,106.5±7.6,110.5±6.2,1.41±0.2,0.842,122,10.62±0.2,2.39
MU19-08,35,1304,11.4975,8.88±9.1,0.74±2.0,9.06±9.5,0.08,15.37,281.0±11.8,289.6±11.7,1.63±0.2,0.83,125,11.30±0.2,1.85
MU19-09,33,580,3.6787,4.25±2.4,0.2±0.3,4.3±2.5,0,33.62,189.0±19.2,203.5±15.0,1.52±0.2,0.831,0.837,0.017,(cid:0),0.003,109,10.79±0.2,1.82
MU19-11,30,361,4.8715,7.17±9.7,6.58±33.0,8.78±17.5,93.34,0,144.4±7.2,148.3±7.9,1.37±0.1,0.807,0.845,0.021,0.1,108,11.20±0.2,1.89
MU19-12,33,155,0.9837,1.26±1.2,0.85±1.5,1.47±1.5,0.15,44.59,155.1±25.7,182.1±21.6,2.27±0.3,0.83,0.79,0.07,(cid:0),0.002,104,11.15±0.2,1.97
MU19-13,32,2894,43.9737,44.29±8.2,4.44±1.5,45.38±8.5,22.78,4.72,215.1±4.6,216.6±4.6,1.86±0.2,0.82,0.817,0.091,0.045,102,10.96±0.2,2.02
MU19-14,32,834,14.7259,13.89±11.1,6.27±6.2,15.42±12.1,0,24.09,230.6±16.3,244.5±14.5,1.4±0.1,0.83,0.843,0.013,0.002,106,10.60±0.2,1.69
MU19-15,27,260,4.3018,3.61±3.7,0.66±1.9,3.77±3.9,0.07,34.4,258.3±32.5,290.6±28.1,1.37±0.1,0.831,0.845,0.019,(cid:0),0.005,117,11.25±0.1,1.37
MU19-16,31,307,4.9804,4.87±4.5,1.59±3.5,5.26±5.3,0.52,27.67,222.7±23.2,246.8±19.6,1.31±0.1,0.822,0.848,0.006,0.038,112,10.92±0.2,1.68
MU19-17,33,715,5.3358,4.27±3.8,3.55±13.4,5.14±6.4,0.03,22.84,273.2±18.3,282.1±16.4,1.39±0.1,0.828,0.844,0.044,0.008,103,10.87±0.2,1.71
MU19-18,28,473,5.0966,3.44±4.1,0.07±0.2,3.46±4.2,75.19,0,317.3±16.2,324.8±15.4,1.31±0.1,0.834,0.848,0.005,(cid:0),0.019,101,11.28±0.1,1.23
MU19-20,33,788,5.1139,4.09±4.7,0.08±0.2,4.1±4.8,0,41.4,269.7±22.0,283.1±24.3,1.65±0.1,0.835,0.83,0.005,(cid:0),0.021,104,11.04±0.1,1.32
MU19-22,15,179,6.0825,7.3±8.3,0.62±0.7,7.45±8.3,0,70.37,169.7±45.9,138.3±29.9,1.44±0.1,0.831,0.841,0.06,(cid:0),0.003,98,11.60±0.2,1.53
MU19-23,33,1343,14.4225,19.05±7.4,0.73±1.8,19.23±7.6,0.09,15.35,165.4±6.8,166.0±6.8,1.26±0.1,0.851,102,10.75±0.2,2.30
MU19-24,33,327,2.0717,5.39±1.9,0.38±0.3,5.48±2.0,17.97,17.06,82.8±5.6,85.7±5.6,1.51±0.1,0.826,0.837,0.027,0.018,112,12.44±0.2,1.91
MU19-25,33,695,4.1681,6.67±2.6,0.24±0.3,6.73±2.7,18.86,9.72,135.4±6.4,138.8±5.9,1.32±0.1,0.82,0.847,0.044,0.044,114,11.97±0.2,1.91
