sample_id,n_grains,Ns_total,rho_s,U_ppm,U_ppm_error,Th_ppm,Th_ppm_error,eU_ppm,eU_ppm_error,pooled_age,pooled_age_error,central_age,central_age_error,P_chi2,dispersion,Dpar,Dpar_error,rmr0,rmr0_2007,Cl_wt_pct,eCl_apfu,n_lengths,MTL,MTL_error,MTL_stdev,mineral,method,zeta_value,dataset_name,publication
30,303,4.234,13.33,6.2,2.19,2.0,13.87,6.6,91.16,3.5,71.1,4.1,1.24,0.0,68.8,0.1,0.825,0.852,0.035,0.023,99.0,12.05,0.2,2.14,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
32,775,11.307,14.16,12.6,12.42,44.9,17.2,18.3,0.1,10.8,179.4,9.6,1.23,20.65,173.7,0.1,0.83,0.852,0.014,-0.001,121.0,11.19,0.2,1.92,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
26,1001,11.8437,10.1,6.5,0.74,1.2,10.28,6.7,0.0,15.0,258.0,14.2,1.46,20.55,257.0,0.1,0.831,0.84,0.026,-0.003,107.0,11.25,0.2,1.84,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
32,1029,11.3164,12.24,8.6,0.8,0.8,12.44,8.7,0.0,11.7,201.0,11.4,1.38,25.01,199.4,0.1,0.83,0.844,0.043,-0.001,103.0,11.44,0.2,1.8,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
31,1929,18.7324,16.19,8.9,0.66,0.9,16.35,9.1,0.0,14.8,264.2,13.9,1.67,25.47,249.9,0.1,0.829,0.828,0.063,0.003,104.0,11.47,0.2,1.95,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
32,1215,8.8639,16.76,7.9,0.93,0.6,16.99,8.0,0.0,8.2,118.2,6.9,1.66,28.16,115.9,0.1,0.828,0.829,0.047,0.007,109.0,11.99,0.2,1.92,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
33,418,4.5852,5.85,3.9,0.21,0.3,5.9,3.9,7.63,9.8,175.6,9.2,2.09,8.37,166.1,0.2,0.3,0.802,2.222,0.739,118.0,12.09,0.2,2.11,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
13,629,19.4414,14.6,7.4,1.1,2.3,14.86,7.2,0.59,20.1,294.6,19.2,1.55,16.63,289.2,0.1,0.835,,,,,25.0,10.15,0.4,2.08,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
24,239,17.9809,7.42,4.7,0.43,1.0,7.52,4.7,0.0,12.0,91.4,11.8,1.57,47.4,90.5,0.2,,0.833,0.37,0.162,108.0,11.26,0.2,1.65,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
33,250,1.1261,13.32,5.7,0.57,0.4,13.46,5.8,59.64,1.1,18.9,1.2,1.38,0.0,17.7,0.1,0.825,0.844,0.068,0.073,112.0,12.35,0.2,1.65,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
33,349,1.6068,16.1,22.4,1.14,2.8,16.38,22.4,0.51,1.8,24.0,1.9,1.28,27.43,22.2,0.2,0.825,0.849,0.047,0.02,102.0,12.22,0.2,2.06,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
21,332,11.6053,14.68,17.2,19.27,44.3,19.4,22.3,0.0,15.5,103.8,13.6,1.81,46.36,116.4,0.4,0.808,0.818,0.307,0.08,111.0,10.99,0.2,1.77,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
24,277,9.104,9.85,13.3,3.62,9.1,10.74,13.5,0.0,42.6,253.3,39.3,1.55,63.23,180.6,0.2,0.822,0.835,0.147,0.036,78.0,11.23,0.2,1.97,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
36,93,19.7226,4.94,2.4,0.42,0.9,5.05,2.5,30.59,6.5,60.8,6.2,1.34,0.0,43.5,0.2,0.803,0.846,0.089,0.118,47.0,11.51,0.3,2.2,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
