FT,He_ncc,Rs_um,Sm_ppm,Th_ppm,U_ppm,corr_age_1sigma_ma,corr_age_ma,eU_ppm,half_width_um,lab_no,length_um,mass_mg,sample_id,std_run,terminations,thermal_model,uncorr_age_ma
0.77,0.058,81.0,52.2,1.2,1.7,2.4,38.4,2.0,66.4,22780,289.0,0.0078,MU19-17,B,0T,,29.8
0.8,0.042,81.0,53.8,1.0,1.0,1.5,23.6,1.2,66.8,22781,281.4,0.0138,MU19-17,B,0T,,18.9
0.82,1.058,82.3,12.0,2.2,11.8,4.5,71.9,12.3,72.5,23370,225.2,0.0119,MU19-18,E,0T,S,59.2
0.8,0.172,73.7,17.2,1.5,6.1,2.0,32.8,6.5,66.8,23371,185.5,0.0083,MU19-18,E,0T,S,26.3
0.79,0.341,67.8,22.0,2.7,15.4,2.0,32.6,16.0,58.6,23372,196.5,0.0068,MU19-18,E,0T,S,25.6
0.81,0.784,81.0,34.4,1.5,18.7,2.9,46.2,19.1,66.4,23373,289.0,0.009,MU19-18,E,1T,S,37.6
0.82,0.464,81.0,9.7,1.5,6.6,3.2,52.4,7.0,66.8,23374,281.4,0.0126,MU19-18,E,0T,S,43.0
0.73,0.025,105.1,14.0,2.1,1.6,2.1,33.8,2.1,100.3,22787,232.1,0.0039,MU19-20,B,0T,S,24.6
0.78,0.111,73.5,5.3,1.2,1.6,5.4,86.7,1.9,62.2,22788,230.9,0.007,MU19-20,B,0T,,67.9
0.78,1.372,78.5,69.1,2.8,12.7,10.5,168.6,13.4,60.8,22789,376.1,0.0063,MU19-20,B,0T,S,131.5
0.8,0.313,77.4,5.5,0.5,1.9,11.6,187.3,2.0,93.7,22790,114.9,0.0085,MU19-20,B,0T,S,150.0
0.86,0.48,86.0,98.7,0.2,3.7,3.1,50.3,3.7,76.5,22792,228.6,0.0235,MU19-24,B,0T,S,43.5
0.8,0.201,77.5,127.4,0.9,4.2,3.1,50.0,4.4,71.9,22793,183.4,0.009,MU19-24,B,0T,S,40.1
0.82,0.569,83.6,113.8,0.7,7.5,3.2,52.4,7.7,76.7,22794,203.5,0.014,MU19-24,B,0T,S,42.8
0.81,0.132,84.0,81.8,0.5,2.7,2.8,45.8,2.8,73.1,22796,239.8,0.0101,MU19-24,B,1T,S,37.3
0.83,0.63,68.1,116.2,0.3,3.9,6.9,111.4,4.0,58.1,23375,207.1,0.0135,MU19-25,E,0T,,92.8
0.81,0.325,84.0,115.3,0.7,3.3,5.9,95.8,3.5,80.0,23376,186.8,0.0095,MU19-25,E,0T,,77.7
0.83,1.021,,128.0,0.7,6.9,7.1,115.2,7.1,,23377,,0.012,MU19-25,E,,,95.4
0.82,0.891,,179.9,1.4,11.1,5.6,90.2,11.4,,23378,,0.0085,MU19-25,E,,,73.8
0.83,0.663,,118.7,1.0,5.5,5.8,93.1,5.7,,23379,,0.012,MU19-25,E,,,77.0
