Cl_wt_pct,Disp_pct,Dpar_sd_um,Dpar_um,Dper_sd_um,Dper_um,Nd,Ni,Ns,P_chi2_pct,Th_1sigma,Th_ppm,U_1sigma,U_ppm,analysis_date,analyst,counting_area_cm2,dosimeter,eCl_apfu,eU_1sigma,eU_ppm,etching_conditions,ft_algorithm,ft_counting_method,ft_software,grain_id,laboratory,microscope,n_grains,objective,rho_d_cm2,rho_i_cm2,rho_s_cm2,rmr0,rmr0D,sample_id,sample_mount_id
0.014,15.2,0.2,1.5,,,,,383,12.39,0.1,0.04,4.5,12.56,,M_McMillan,,N/A (LA-ICP-MS),-0.001,4.5,12.57,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-28_aggregate,University of Melbourne,Unknown,24,100x oil immersion,,,851660.0,0.831,0.838,MU19-28,
0.026,0.0,0.1,1.34,,,,,186,74.37,2.5,1.23,3.6,10.87,,M_McMillan,,N/A (LA-ICP-MS),-0.003,3.5,11.17,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-29_aggregate,University of Melbourne,Unknown,20,100x oil immersion,,,1006310.0,0.83,0.846,MU19-29,
0.043,0.0,0.1,1.24,,,,,303,91.16,2.0,2.19,6.2,13.33,,M_McMillan,,N/A (LA-ICP-MS),-0.001,6.6,13.87,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-30_aggregate,University of Melbourne,Unknown,30,100x oil immersion,,,423400.0,0.829,0.852,MU19-30,
0.063,20.65,0.1,1.23,,,,,775,0.1,44.9,12.42,12.6,14.16,,M_McMillan,,N/A (LA-ICP-MS),0.003,18.3,17.2,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-33_aggregate,University of Melbourne,Unknown,32,100x oil immersion,,,1130700.0,0.828,0.852,MU19-33,
0.047,20.55,0.1,1.46,,,,,1001,0.0,1.2,0.74,6.5,10.1,,M_McMillan,,N/A (LA-ICP-MS),0.007,6.7,10.28,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-34_aggregate,University of Melbourne,Unknown,26,100x oil immersion,,,1184370.0,0.3,0.84,MU19-34,
0.307,25.01,0.1,1.38,,,,,1029,0.0,0.8,0.8,8.6,12.24,,M_McMillan,,N/A (LA-ICP-MS),0.739,8.7,12.44,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-36_aggregate,University of Melbourne,Unknown,32,100x oil immersion,,,1131640.0,0.789,0.844,MU19-36,
,25.47,0.1,1.67,,,,,1929,0.0,0.9,0.66,8.9,16.19,,M_McMillan,,N/A (LA-ICP-MS),,9.1,16.35,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-37_aggregate,University of Melbourne,Unknown,31,100x oil immersion,,,1873239.9999999998,0.825,0.828,MU19-37,
0.37,28.16,0.1,1.66,,,,,1215,0.0,0.6,0.93,7.9,16.76,,M_McMillan,,N/A (LA-ICP-MS),0.162,8.0,16.99,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-39_aggregate,University of Melbourne,Unknown,32,100x oil immersion,,,886389.9999999999,0.825,0.829,MU19-39,
0.068,8.37,0.2,2.09,,,,,418,7.63,0.3,0.21,3.9,5.85,,M_McMillan,,N/A (LA-ICP-MS),0.023,3.9,5.9,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-47_aggregate,University of Melbourne,Unknown,33,100x oil immersion,,,458520.00000000006,0.808,0.802,MU19-47,
0.047,16.63,0.1,1.55,,,,,629,0.59,2.3,1.1,7.4,14.6,,M_McMillan,,N/A (LA-ICP-MS),0.02,7.2,14.86,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-48_aggregate,University of Melbourne,Unknown,13,100x oil immersion,,,1944140.0000000002,0.822,0.835,MU19-48,
0.08,47.4,0.2,1.57,,,,,239,0.0,1.0,0.43,4.7,7.42,,M_McMillan,,N/A (LA-ICP-MS),0.036,4.7,7.52,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-49_aggregate,University of Melbourne,Unknown,24,100x oil immersion,,,1798089.9999999998,0.803,0.833,MU19-49,
0.147,0.0,0.1,1.38,,,,,250,59.64,0.4,0.57,5.7,13.32,,M_McMillan,,N/A (LA-ICP-MS),0.118,5.8,13.46,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-50_aggregate,University of Melbourne,Unknown,33,100x oil immersion,,,112610.00000000001,,,MU19-50,
0.089,27.43,0.2,1.28,,,,,349,0.51,44.3,19.27,22.4,16.1,,M_McMillan,,N/A (LA-ICP-MS),,22.4,16.38,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-51_aggregate,University of Melbourne,Unknown,33,100x oil immersion,,,160680.0,,,MU19-51,
,46.36,0.4,1.81,,,,,332,0.0,9.1,3.62,17.2,14.68,,M_McMillan,,N/A (LA-ICP-MS),,22.3,19.4,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-52_aggregate,University of Melbourne,Unknown,21,100x oil immersion,,,1160530.0,,,MU19-52,
,63.23,0.2,1.55,,,,,277,0.0,0.9,0.42,13.3,9.85,,M_McMillan,,N/A (LA-ICP-MS),,13.5,10.74,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-53_aggregate,University of Melbourne,Unknown,24,100x oil immersion,,,910399.9999999999,,,MU19-53,
,0.0,0.2,1.34,,,,,93,30.59,,,2.4,4.94,,M_McMillan,,N/A (LA-ICP-MS),,2.5,5.05,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-54_aggregate,University of Melbourne,Unknown,36,100x oil immersion,,,1972260.0,,,MU19-54,
